Datum,Datum,luftfeuchtigkeiit,niederschlag10min,cbar20cm,cbar35cm,temp2m,bodentemp20cm,bodentemp35cm,mm,sliding7,sliding13,sliding20,sliding25,sliding30,tempslide25,tempslide7,value
2020-06-21,21.06.20 00:00,76,0.0,3.6,2.7,17.7,18.0,17.4,0.0,48.29999999999998,75.49999999999999,114.09999999999997,114.09999999999997,125.29999999999998,15.003999999999996,15.45714285714286,138.0
2020-06-22,22.06.20 00:00,76,0.0,4.2,3.3,19.5,18.5,17.8,0.0,48.29999999999998,71.99999999999999,114.09999999999997,114.09999999999997,114.19999999999999,15.191999999999997,16.028571428571432,136.0
2020-06-23,23.06.20 00:00,70,0.0,5.0,3.8,20.1,19.0,18.3,0.0,48.29999999999998,62.59999999999999,114.09999999999997,114.09999999999997,114.1,15.415999999999997,16.457142857142863,132.0
2020-06-24,24.06.20 00:00,66,0.0,5.8,4.3,20.5,19.3,18.6,0.0,26.499999999999975,62.19999999999999,103.19999999999997,114.09999999999997,114.1,15.679999999999998,17.371428571428577,128.0
2020-06-25,25.06.20 00:00,69,0.0,6.6,4.7,20.4,19.4,18.8,0.0,24.799999999999976,62.19999999999999,95.49999999999997,114.09999999999997,114.1,15.927999999999997,18.24285714285715,125.0
2020-06-26,26.06.20 00:00,81,0.0,7.5,5.0,20.4,19.6,19.0,0.1,0.0999999999999801,50.3,93.49999999999997,114.19999999999996,114.19999999999999,16.103999999999996,19.257142857142863,121.0
2020-06-27,27.06.20 00:00,83,1.0,8.5,5.3,20.4,19.6,19.0,0.7999999999999999,0.89999999999998,49.199999999999996,78.99999999999997,114.99999999999996,114.99999999999999,16.215999999999994,19.857142857142865,122.0
2020-06-28,28.06.20 00:00,85,9.2,9.5,5.6,19.6,19.7,19.1,7.2,8.09999999999998,56.4,83.59999999999998,122.19999999999996,122.19999999999999,16.295999999999996,20.128571428571437,121.0
2020-06-29,29.06.20 00:00,92,21.2,4.8,4.7,16.9,19.2,18.9,19.99999999999999,28.09999999999997,76.39999999999999,100.09999999999997,131.29999999999995,142.2,16.383999999999993,19.757142857142867,130.0
2020-06-30,30.06.20 00:00,76,0.0,2.5,3.6,18.4,18.9,18.6,0.0,28.09999999999997,54.59999999999998,90.69999999999996,123.59999999999995,142.2,16.619999999999994,19.514285714285727,129.0
2020-05-07,05.07.20 00:00,77,0.0,6.2,5.0,20.3,19.1,18.8,0.0,22.899999999999967,30.999999999999982,79.29999999999995,93.59999999999997,126.49999999999996,17.727999999999994,18.628571428571437,83.0
2020-06-07,06.07.20 00:00,75,0.0,7.1,5.4,17.8,19.4,19.0,0.0,2.8999999999999773,30.999999999999982,79.29999999999995,93.19999999999996,124.39999999999996,17.83599999999999,18.757142857142867,111.0
2020-07-07,07.07.20 00:00,65,0.0,8.3,5.9,15.9,18.5,18.5,0.0,2.8999999999999773,30.999999999999982,57.49999999999994,93.19999999999996,109.09999999999997,17.743999999999993,18.40000000000001,119.0
2020-07-13,13.07.20 00:00,68,0.0,18.9,9.7,17.8,18.8,18.7,0.0,23.199999999999974,26.09999999999999,54.19999999999994,78.99999999999993,104.39999999999995,18.635999999999992,18.514285714285716,120.0
