Datum,luftfeuchtigkeiit,niederschlag10min,cbar20cm,cbar35cm,temp2m,bodentemp20cm,bodentemp35cm
23.08.20 00:00,77,0,13.4,6.8,18.4,19.7,19.9
24.08.20 00:00,72,0,16.8,6.9,17.2,19.1,19.5
25.08.20 00:00,77,0,19.6,7.1,16.9,18.3,18.9
26.08.20 00:00,57,0,24.4,7.4,21.5,18.6,18.8
27.08.20 00:00,78,0,29.9,7.7,17.2,18.1,18.6
28.08.20 00:00,91,7.6,31.7,8,16.4,17.8,18.3
29.08.20 00:00,98,3.7,30.1,8.3,14,17.8,18.1
30.08.20 00:00,100,31,24.3,5.9,11.7,17.2,17.7
31.08.20 00:00,89,0,1.8,1.6,13.4,16.5,17
01.09.20 00:00,89,0,2.2,2.3,14.5,16.6,17
02.09.20 00:00,87,0,2.7,2.8,14.2,16.6,17
03.09.20 00:00,83,0,3.1,3.2,14.8,16.1,16.7
04.09.20 00:00,89,0,3.5,3.5,14.7,15.9,16.6
